ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
17336,/p66/m17336,"בִּמְקוֹם הַקְדָּמָה (ל""טיולים בעולם המשל והאגדה"")",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17337,/p66/m17337,בִּיבְּלִיוֹגְרַפִיָּה (התרבות הישראלית),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17338,/p66/m17338,בִּיבְּלִיוֹגְרַפִיָה (אבות ובנים לטורגניב),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17339,/p66/m17339,מִחוּץ וּמִבַּיִת,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17340,/p66/m17340,בִּיבְּלִיוֹגְרַפִיָּה (אינגבּוֹרג לקלרמן),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17341,/p66/m17341,בִּיבְּלִיוֹגְרַפִיָה (״מעברות״),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17342,/p66/m17342,"בִּיבְּלִיוֹגְרַפִיָּה (""מזרח ומערב״)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17343,/p66/m17343,"בִּיבְּלִיוֹגְרַפִיָּה (""פירכוסים"" לי. הר־אבן)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17344,/p66/m17344,בֶּן־אֲבִיגְדוֹר,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,[תל אביב]: הקיבוץ המאוחד
17345,/p66/m17345,לְשָׁלוֹם־עֲלֵיכֶם,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,[תל אביב]: הקיבוץ המאוחד
17346,/p66/m17346,טִיּוּלִים בְּעוֹלַם הַמָּשָׁל וְהָאַגָּדָה,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,[תל אביב]: הקיבוץ המאוחד
17347,/p66/m17347,נֶקְרוֹלוֹג  [על קנטור וגולדין],יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,[תל אביב]: הקיבוץ המאוחד
17348,/p66/m17348,"צִיוּנִים [שיירים] (מאמריסטיקה; רזיגנציה; ועידת ""אחדות העבודה""; קרן הגאולה; על דאטפת; טאקט; רעיונות)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17349,/p66/m17349,שְׁאִיפָה,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17350,/p66/m17350,מִן הָעִתּוֹנוּת הַיְהוּדִית,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17351,/p66/m17351,בִּמְקוֹם נְאוּם,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17352,/p66/m17352,בְּשׁוּלֵי גִלְיוֹנוֹת הַפּוֹאֵמָה,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17353,/p66/m17353,"צִיּוּנִים י'-י""א (שתי שאלות; הפועלים עצלים – ובעל הבית דוחק; וזאת – מלים אחדות – לבן־יהודה; חג בדוי; ינָתן דבר פועלי ארץ־ישראל בידי פועלי ארץ־ישראל)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17354,/p66/m17354,מֵאֵת הָעוֹרֵך,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17355,/p66/m17355,בריה עלובה,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.prose,ורשה: בדפוס שולדברג ושותפ 
17357,/p95/m17357,תשובה לאליעזר בן־יהודה; להשיב דבר,פרץ סמולנסקין,"",https://wikidata.org/wiki/Q1371532,"","",Translation missing: he.article,"בתוך: כל כתבי אליעזר בן־יהודה, ירושלים: בן־־יהודה"
